"职位名称","薪资区间","经验要求","学历要求","岗位职责任职要求","工作地址","公司名称","公司规模"
"西瓜视频大客户销售经理","10k-15k","经验1-3年 /","本科及以上 /","职位职责：1、积极主动开发快消行业（包含奢侈品、日化等）新客户，维系原有客户，完成公司下达的销售指标； 2、负责销售合同的签定，及时收回款项，维护好客户关系；3、遵守公司规定的各项行政规章制度； 4、配合完成直属领导指派的各类工作任务。职位要求：1、二年以上移动互联网广告公司销售经验，有网络媒体或移动互联网销售经验者优先；2、热爱销售岗位，勤奋、执着，有客户独立开发能力，细致耐心；3、形象良好，沟通能力强，有较强的服务意识，能够适应高效率的工作环境，需短期上海周边客户拜访出差；4、有服务过相关快消行业经验，有行业客户资源优先。","上海 -                    徐汇区                                            - 上海市徐汇区中金国际广场A座15楼                                                            查看地图","字节跳动                                                                        拉勾认证企业","http://www.bytedance.com                公司主页"
"Java","25k-50k","经验3-5年 /","本科及以上 /","【职责描述】1.结合AI新技术，进行反欺诈解决方案系统的设计研发工作2.开发AI解决方案产品，包括：产品设计、技术调研、验证开发、开发转化3.理解并梳理基于大数据的机器学习平台的核心业务流程4.抽象人工智能相关的领域模型5.整合开源和自研的机器学习计算框架，进行产品化接入6.负责大数据机器学习平台、行业智能决策引擎、大数据管理与分析系统等产品的后端功能开发和维护7.研究分析产品需求，持续改进产品功能，并提供技术方案8.提升软件产品的安全性、兼容性、可维护性、可交付性【岗位要求】1.计算机相关专业，本科或以上学历，3年以上编程经验，独立完成过中等规模的项目2.精通Java语言，熟练掌握至少一种脚本语言3.有良好的数据结构和算法设计基础4.熟悉Linux系统原理、熟练运用Linux命令与脚本5.熟悉关系型数据库原理及SQL语言6.理解敏捷开发流程7.具有互联网行业大规模的机器学习系统研发经验者优先考虑【加分项】1.熟悉机器学习理论及其应用2.具备海量数据处理、大规模分布式系统开发经验3.熟悉java web端框架，如spring/spring mvc/mybatis等4.熟悉分布式系统原理，有分布式系统设计和开发5.熟悉主流大数据处理技术（hadoop/spark等）","上海 -                    浦东新区                                            - 世界广场 27层                                                            查看地图","第四范式                                                                        拉勾未认证企业","http://www.4paradigm.com                公司主页"
"内容编辑","6k-10k","经验1-3年 /","大专及以上 /","职位：内容编辑关键词：小红书、策划、文案、编辑、电商 工资：6-10k经验：1-3年工作经验学历：专科及以上 职位诱惑：薪资福利好、晋升空间大、快发展 我们正在做一件独特的事情：倡导全新的经期生活方式，让姑娘们可以享受经期，利用经期这个珍贵的美容养颜机会，让自己拥有白里透红好气色。 文字，则是描述这种生活方式的极佳载体。如果你也认可这样的生活方式，能够用你的文字让更多姑娘更加期待、更加热爱自己的经期，欢迎你加入我们。 职位描述：【岗位职责】1、结合乐蓓的产品特点，寻找合适的小红书KOL，共同写出高收藏量的笔记。2、运营小红书上乐蓓的官方账号，传达合适的品牌形象，吸引更多的小红书用户关注乐蓓。3、配合创始人IP，策划、撰写适合小红书的笔记内容、做短视频的创意。 【任职要求】1、小红书重度使用者优先录用。2、热爱生活，善于捕捉新鲜事物和热点，并发掘与产品的关联性进行传播。3、拥有优秀的编辑、整合能力，对产品创意和卖点能进行深入挖掘和提炼。4、具备良好的策划能力，能根据实时热点和新闻策划有商业价值的主题活动。5、应聘时请附上自己的文案作品。 【公司简介】邂伊网络科技（上海）有限公司是一家快速消费品行业的公司。旗下品牌“乐蓓”，专注于女性生理期消费场景，帮助女性朋友更好地照顾自己，与用户一起缔造了一种全新的生理期生活方式。 【核心团队】乐蓓的供应链管理团队，拥有超过30年的食品行业经验，掌握该领域的核心技术和生产工艺，与美国、欧洲、日本保持密切的技术交流与合作。乐蓓的营销主力，曾任职于宝洁，拥有丰富的营销和零售经验，掌握渠道开拓和零售运作的丰厚人脉资源。 【如果你加入我们，我们将为你提供】1、快速、广阔的晋升空间在我们这家迅猛发展的快速消费品品牌公司中，你可以亲身经历一个品牌的发展壮大，随之而来的是快速、广阔的晋升空间。 2、广阔的视野与历练通过每周复盘、商业思维的培训，让每一个成员都能够对全公司拥有更加全局观的认识，了解整个价值链的运作。 3、优于同行的全薪酬水平高于同行平均水平的薪资水平。按能力付薪，月薪金、奖金、年终奖励应有尽有。 4、福利五险一金是必须的，各类奖励、生日福利、节日红包、大姨妈假、乐蓓畅饮等福利应有尽有。 5、开心、轻松的工作氛围我们邀请的是创造型、智慧型人才，我们极为看重为每一位成员创造坦诚沟通、轻松愉快的工作氛围，如此，才能最大地发挥成员的创造力和智慧。 6、篇幅有限，欢迎各路精英在与我司面聊时深入挖掘。","上海 -                    静安区 -                    曹家渡                                            - 万航渡路789号5A层方糖小镇                                                            查看地图","乐蓓                                                                        拉勾认证企业","http://kdt.im/7EL0Pr                公司主页"
"运营文案/编辑-张江","6k-8k","经验1-3年 /","大专及以上 /","年假+++,Bonus, 各种补贴, 万科+绿地，走~欧美风团建，出入境游，健身+游泳，学习交流，主题派对岗位职责：1、负责微信公众号（青春求解答公众号）内容规划、采编，对内容质量负责； 2、协助配合部门新媒体端的项目推广内容工作； 3、独立文案创作，按期、按时完成所需文案； 4、建立青春求解答微信账号的语言体系和风格，强化品牌并长期引领读者。 5、负责跟公司品牌中心的对接及日常会议 　 　 　 　 　 6、善于关注热点，结合热点进行相关文案整合  任职要求：1、热衷于文案创作，有一定的文字功底；2、有心理学相关工作经验或心理学相关资质证书3、了解微信公众号运营基础准则，有运营公众号经验者优先；4、能及时捕捉心理学等相关领域内的信息动态，根据网络热点话题写文案；5、善于粉丝互动，有一定的沟通技巧；6、有一定的PS操作能力，能独立完成基本的修图工作，有一定审美；7、熟练操作办公软件及新媒体排版软件；8、良好沟通能力及团队协作能力。9、逻辑思维能力强，文字功底深厚，选题策划独到；10、对内容运营有独到见解，对新媒体内容制作、传播、内容变现有深刻理解；11、对资讯敏感，善于把握热点，洞悉微信内容传播机制，了解社会流行特点，脑洞大、有想法；12、有良好的数据分析能力工作时间：弹性工作工作地点：上海-浦东-张江（万科+绿地）公司氛围：走~欧美路线、年假++++、美女+帅哥=颜值爆表、Outing社交-多多、收入-牛市-缴$金（全部按正常）团建+聚餐，老板是大牛。","上海 -                    浦东新区 -                    张江                                            - 祥科路58号B座                                                            查看地图","上海极值信息技术有限公司                                                                        拉勾认证企业","15-50人                规模"
"java开发（日语良好）","6k-8k","经验3-5年 /","大专及以上 /"," 岗位名称：java开发工程师（赴上海IBM对日项目） 岗位职责：1.主要进行银行金融项目的开发 2.在规定的时间内完成高质量的编码工作；3.对所编写的模块或程序进行严格的综合测试，进行软件故障的诊断、定位、分析和调试，以实施产品测试方案  岗位要求1.精通JAVA语言，熟悉Mysql或Oracle数据库系统。2.熟悉Struts,Spring，iBatis/Hibernate等常见MVC框架内容 3.精通Mysql、Oracle、SQL Server等数据库，至少熟悉一种数据库优化4.日语读写良好，能看得懂式样书                                                        工作时间：5天8小时，周末双休 工作地点：上海市杨浦区江湾体育场政立路447号IBM  Building 1    我们给您提供：1、舒适高大上的外企办公环境，配备各种生活设施2、可观的收入，每年度加薪制度 3、不定期的专业培训4、多元化的职业发展渠道，给予岗位技能和综合能力不断提升的机会5、不靠关系的晋升6、培养方向：技术顾问/人事管理/项目经理  7、享受国家规定的五险一金，带薪年假婚假产假等，年度体检，补充医疗保险，各种节假日福利8、丰富多彩的员工CLUB活动面试通过后您将作为我公司的正式员工以交付的形式外派至IBM工作，稳定在IBM长期发展。IBM（国际商业机器公司）或万国机器公司，简称IBM（International Business Machines Corporation），世界500强企业。总公司在美国纽约州阿蒙克市，创立于1911年，是全球最大的信息技术和业务公司，拥有全球雇员30多万人，业务遍及160多个国家和地区。IBM为计算机产业长期的领导者，在大型/小型机和便携机（ThinkPad）方面的成就最为瞩目。其创立的个人计算机（PC）标准，至今仍被不断的沿用和发展。2004年，IBM将个人电脑业务出售给中国电脑厂商联想集团，正式标志着从“海量”产品业务向“高价值”业务全面转型。另外，IBM还在大型机，超级计算机（主要代表有深蓝、蓝色基因和Watson），UNIX，服务器方面领先业界。","上海市 -                    杨浦区 -                    江湾                                            - 江湾体育场政立路447号                                                            查看地图","武汉佰钧成技术有限公司                                                                        拉勾认证企业","http://www.bill-jc.com                公司主页"
"上海青客公寓租赁销售代表...","6k-9k","经验不限 /","大专及以上 /","岗位职责：1、在销售经理的带领下，完成销售任务。2、利用青客官网及网络渠道发布公司旗下房源信息，吸引租客进行租房咨询。3、解答租客的疑问，并告知租客公司所能提供的服务。4、根据租客的租房需求，带客户实地参观。备注：此岗位销售压力不大，月均收入10000，公司旗下房源多多，不需要自行开发房源，房源覆盖整个上海、苏州、昆山、杭州区域，价位不等，满足不同收入阶段的人群需求。不需要主动开发客户，但需要良好的耐心，通过网上发布信息，与客户打成一片，维护并真正帮助到客户的好心人。任职要求：1、大专以上学历，如果有丰富的销售特长，善于讲故事的，学历可适当降低。2、亲和力佳、勤奋踏实，具有良好的客户服务意识和销售能力。3、有强烈赚钱欲望的优先考虑。4、上班不迟到，下班不早退，按任务清单完成任务，做不完事情不睡觉的优先考虑。5、有销售工作经历，能够详细描述工作详情的优先考虑。公司福利：五险一金+年终奖+超长带薪年假+带薪培训其他福利：入住公司公寓享受内部折扣工作时间：早9:00——晚19:00，做6休1，可调休工作地点：上海，苏州90多个服务中心任你挑选更多信息请关注青客官网：http://www.qk365.com","上海 -                    宝山区 -                    友谊路                                            - 宝山区各服务中心就近安排                                                            查看地图","上海青客                                                                        拉勾认证企业","500-2000人                规模"
"产研中心实习生","3k-4k","经验应届毕业生 /","本科及以上 /","工作职责：产研中心团队目前的工作重点是互联网广告的投放开发，整个开发团队使用的都是目前业界最新、最前沿的技术，涉及分布式开发，分布式存储，大规模数据处理，机器学习和数据挖掘等重点领域。任职资格：1. 计算机或者相关专业大三或者研二的同学；2. 至少掌握C++或者Java中的一门编程语言；3. 熟练掌握数据结构、操作系统、数据库、网络等专业知识；4. 有Linux下编程开发经历，写过简单shell脚本；5. 使用过常见的数据库产品，例如MySQL；6. 对高并发或者大数据处理有浓厚兴趣的同学；7. 学习和工作上态度严谨，认真负责的同学；8. 暑期能保证每周五天的出勤率，总时间至少两个月；开学后能保证平均每周四天的出勤率产研中心开发团队简介产研中心开发团队成立于2017年1月，在利欧数字中是一个非常年轻的队伍，是一个朝气蓬勃，具有创造力，积极向上的队伍。虽然团队是年轻的，但是团队成员都具有多年的互联网大数据开发和实施经验，曾就职于奇虎360，华为等著名IT企业。团队成员毕业于复旦，上交，同济等上海名牌高校，硕士及以上学历比例超过50%。产研中心开发团队的主要目标和任务是整合集团现有的技术研发资源、信息化资源和产品模块，不断开发符合市场需求，保持行业领先地位的数字营销技术和应用产品，为业务部门持续提供核心技术、应用产品的支持和服务。基于集团数字营销战略，开发团队主要的工作内容是自主研发精准广告投放系统，涉及分布式开发，分布式存储，实时计算，大数据处理，机器学习和数据挖掘等领域，常用技术和应用框架或工具包括thrift、protobuf、nginx、hadoop（yarn）、hbase、aerospike、kafka、zookeeper、spark、flink、mysql、elephant-bird、pig等，投放系统单机处理能力达到10000qps，日均处理日志量达到亿级别。目前投放系统已经成功对接多家知名媒体（exchange），包括腾讯、今日头条、小米、一点资讯、ACFun（媒体名单还在不断扩大中），为多家国内顶级电商进行精准广告投放。随着利欧集团募投项目的逐步开展，开发团队将会参与搭建和运营最新的数字营销云平台项目。我们的目标是在2-3年的时间内，使平台的服务器规模达到5位数水平，集团的所有数字业务都能以该平台作为运营基础或者获得技术支持，并且能从中获益。如果你是一个对技术有所追求，工作严谨并且具有团队合作精神的人，不论是应届毕业生还是已经具有工作经验，我们团队都会欢迎你的加入，在这里你将会拥有一个良好的，持续进步的成长环境，去实现你的人生理想和目标。","上海 -                    普陀区 -                    曹杨                                            - 中山北路3300号月星环球港B座15楼                                                            查看地图","利欧数字集团                                                                        拉勾认证企业","http://www.leo.cn                公司主页"
"置业销售顾问","7k-9k","经验不限 /","本科及以上 /","你是否想在一家蓬勃发展的企业；你是否想在一家工作环境简单、氛围融洽的企业；你是否想在一家公平晋升的平台；如果想，来丽兹看看……【薪资待遇】无责任底薪6000元/月（211/985无责底薪7000）+高额提成（5%—68%）+精英留任奖+年终绩效奖+带薪年假【岗位要求】1.21-35周岁，统招二本及以上学历；2.具有良好的亲和力、理解能力、逻辑协调和沟通能力；3.积极乐观开朗，为人诚实守信，工作积极主动，注重团队合作；4.愿意服务于高端客户，并且通过与高端客户面对面沟通有意愿提升自己的综合能力；5.愿意参加公益活动，具有爱心和感恩之心；【岗位职责】1.新员工入职，熟知高端楼盘与产品信息；（北京、上海、美国、英国、澳大利亚、加拿大豪宅项目；金融产品）；2.详细了解客户的核心诉求，精准匹配合适的产品信息,提供豪宅市场报告、价值分析报告等；3.与客户面对面沟通，通过Ipad、豪宅APP、楼盘字典等营销工具介绍产品信息，带客户实体看房，通过磋商、谈判，完成成交。【晋升体制】★营销专家：豪宅顾问→资深豪宅顾问→高级客户经理→资深客户经理★管理岗位晋升：店经理→店面总监→大区总监【系统培训】1.师徒制：一对一的师徒辅导2.针对豪宅顾问——房产知识、营销知识、交易知识、法律法规、客户维护、目标管理、谈判技巧、金融知识、心理学……3.针对销售精英——百万尖子班4.针对管理岗位——黄埔培训班、虎将训练营 【企业的特点】高智商：接触的是净资产在3000万以上的各行各业的精英人士，身边的伙伴都是高学历的优秀人才；高效率：简单的人际关系，高效的客户服务，高效的团队合作高资本：做标的在2000万-3个亿之间的项目高收益：年薪在30-60万之间，优秀者可以年薪过百万高晋升：以能力为本，每半年一次的公开透明的晋升机会【公司介绍】首先，丽兹行是国内唯一 一家可以实现全司内部联动、京沪联动、国内外联动的企业，客户只需找到一位豪宅顾问就可以看遍丽兹行在做所有豪宅；其次，我们致力于为城市领袖提供安全、高效、愉悦的顾客体验，豪宅交易经验丰富，高端客户认可度非常高；第三，拥有丰富的营销工具，实现科技化的营销，拥有landzso系统，丽兹豪宅网，手机APP、720度环景看房，丽兹豪宅汇，楼盘字典等工具，让客户看房更加直观和高效。第四，对接高净值客户，与高学历人才共事。【其他福利】①五险一金：养老、失业、医疗、工伤、生育、商业保险；住房公积金；享受免费健康检查；②节日福利：法定节假日、10天春节假、带薪年假.....③带薪培训：一对一师徒辅导制；业务训（房产、金融、心理学、美学等）、管理者培训（中欧、北大光华等）、国内外交流沙龙...④多重奖励：新人奖、品质奖、价值范、支持个人及团队、职能嘉奖、个人破纪录奖、个人/父母年度海内外旅游（泰山、青岛、杭州、海南、云南、韩国、马尔代夫...等你来！）⑤逢节必过：圣诞节、儿童节、中秋节、感恩节...节日不停，happy不停；花式活动：爱心义卖、公益活动、舞蹈大赛、运动会、演讲大赛、文化沙龙、轰趴、生party...⑥还有：企业内部通话免费；不定期零食、甜汤、水果等；最简单坦诚开心的工作环境……","上海 -                    浦东新区 -                    陆家嘴                                            - 就近分配                                                            查看地图","丽兹行                                                                        拉勾认证企业","http://www.lizihang.com                公司主页"
"教研","8k-16k","经验不限 /","本科及以上 /","岗位职责： 收集整理数学学科资料，按照知识点和难度等多维度分类对标，完善题库； 根据使用反馈的结果，修改调整已有命题，完成改题、编题等命题研究工作； 组织参与学科教研活动，深入研究命题方向及重难点内容，与一线教师交流教学经验。岗位要求： 大学本科及以上学历，师范类专业 熟悉上海小学奥数及小学数学校内教材，对考点有较准确的把握能力； 专业知识过硬，热爱数学学科，喜欢钻研，成绩优异； 有较强的语言表达能力，逻辑分析能力，总结归纳能力；","上海 -                    徐汇区 -                    漕宝路                                            - 沪闵路9505号3楼                                                            查看地图","上海知墨                                                                        拉勾未认证企业","http://wx.zhimo.co                公司主页"
"Project Sales & Mark...","8k-16k","经验1-3年 /","本科及以上 /","Key Accountabilities主要职责:1、负责针对具体房产项目的营销市场分析及客群分析报告；Conduct the market research and customer demand analysis to targeted property project.2、负责与项目方的商务文件与合同的制定及检查；Prepare and verify business contracts with developer or project owner.3、确保销售团队拥有需要的材料和文件；Ensure the sales team is in possession of all needed information and material4、负责协助准备与项目推广及销售有关的相关物料等；Assist in preparation and organizing of project promotional and sales material.5、跟踪销售活动：进行到访客户及已报备客户的跟踪；Follow-up the daily sales activities: to track visited customers and appointed clients.6、组织客户及合作伙伴进行项目考察事宜。Coordinate and organize the customers’ and partners’ site visit issues.Education Qualifications & Certificates 教育背景及资质要求：本科及以上大学文凭Bachelor degree at least 熟练掌握至少英语或一门以上的外语Master at least one working   language including English or others上进心强，工作态度积极，有合作精神Strong willingness to achieve goals, positive attitude, cooperative spritWork Experience工作经验：有过至少1年以上海外房产销售相关经验，对东南亚国家或迪拜房产项目熟悉者优先。At least 1 plus year of overseas property sales experiences with familiarity with property project from SEA country or Dubai preferred","上海 -                    虹口区                                            - 东大名路687号                                                            查看地图","Juwai                                                                        拉勾认证企业","http://juwai.com                公司主页"
"员工关系专员/主管","8k-15k","经验3-5年 /","本科及以上 /","1.劳动关系管理，协助处理劳动争议、员工争议、纠纷等；2.负责员工居住证、落户、以及外籍员工工作证等各类证件的办理；3.负责入职指引相关工作和离职员工面谈工作；4.协助梳理公司各类人事流程和制度建设；5.负责公司员工档案和劳动合同管理等工作；6.负责日常事务性工作的开展，包括员工入离职、试用期、转岗异动等日常管理。任职要求：1.全日制本科及以上学历；2.一年以上互联网公司员工关系模块工作经验者优先考虑；3.熟悉劳资纠纷处理流程，熟悉相关法律法规，对劳动法规熟练运用；4.能熟练操作上海市的社保；5.良好的沟通协调、人际关系处理能力及抗压力。","上海 -                    长宁区 -                    北新泾                                            - 明基商务广场 B座4楼                                                            查看地图","快牛金科                                                                        拉勾认证企业","500-2000人                规模"
"房源开发经理","8k-15k","经验不限 /","本科及以上 /","在嗨住，你会得到各种技能提升：导师制、伙伴制，多位房源业务专家为你助力，适应新平台无压力。工作内容：1、负责所在辖区上海房源开发与签约，通过嗨住线上平台提供的房源及线下收集到的房源线索找到符合平台要求的房源；2、与房东洽谈，介绍公司业务，为个人房东提供专业的投资回报率及其他咨询服务；3、根据公司绩效规则，达成每月业绩指标。1、统招本科及以上学历；2、年龄25-35岁，3年以上工作经历，2年以上BD工作经历；3、有较强的语言表达能力和学习能力；4、熟悉长租领域，具备一定租房管家、经纪人、房产中介等相关工作经历。职位关键字：Ø 发展空间巨大，一个重用年经人的团队，目标管理为导向，具有很强的凝聚力；Ø  业务美好，无责底薪，努力与回报成正比。","上海 -                    静安区                                            - 广中西路777弄多媒体谷128号6F                                                            查看地图","嗨住                                                                        拉勾认证企业","50-150人                规模"
"市场推广","8k-14k","经验不限 /","大专及以上 /","我们是一家专注于互联网体育和互联网金融的务的中型移动互联网公司，一个低调、务实、专注做事的团队；我们重视人才，传递梦想，欢迎志同道合的伙伴加入我们！！我们拒绝平庸，只为让世界喝彩 ！彩亿科技成立于2011年，已经完成b轮融资，由知名风投机构及战略投资人投资。彩亿总部设立在上海，上海彩亿是一群追求自由和价值的人。我们希望你能和我们一起开心地工作和生活。彩亿不会在她的员工手册中要求你们“勤有追求”、“正直”、“勇敢”，嘿，我们怎么可能相信我们的同事不是这样的。过去几年中，我们经历了前所未有的快速增长，我们产品已经遍布在互联网体育和互联网金融两大战略板块布局，为几千万用户提供移动便捷服务，并进一步为我们的互联网体育和互联网金融规划产业布局，后面会有体育和金融的大数据、基金、保险等。上海彩亿在快速发展的同时，也获得了多方的肯定和认可，已获得“高新技术企业”、上海市“明星软件”企业、“第9届清科集团中国最具投资价值50强企业”等证书，通过了ISO20000、ISO27001、CMMI三级以及互联网信用评价中心AAA级信用企业的认证，拥有4项已进入实质审查阶段的发明专利，98项已登记的软件著作权，10个共47类进入实审阶段的商标，9188彩票平台获得徐汇区重点项目支持、消费金融服务平台获得上海市2015张江专项发展资金支持，惠刷卡项目荣获“创业在上海”互联网企业组优秀创业项目，获得2016年上海市创新资金支持，并入围第五届中国互联网创新创业大赛。所以，我们的故事，还刚刚开始……如果你热爱互联网，希望凭借自己的努力来一起改变世界，那我们诚邀你加入我们的团队。因为的确，我们在真真正正地改变世界。【工作时间】一天弹性8小时工作制+周末双休+法定节假日+带薪年假，节日福利+午餐补贴+自助晚餐。【工作内容】1、利用移动社交软件和新媒体的运营进行公司产品的营销及推广；2、通过微信等网络平台跟客户进行沟通；3、为售后客户提供顾问咨询服务、解答客户的使用问题4、热爱聊天网络营销工作【能力要求】1、大专以上学历，年龄18-27周岁，熟悉互联网络，熟练使用网络交流工具和各种办公软件；2、具有强烈进取精神和敢于挑战高薪的欲望3、熟悉各种网络营销技巧4、有无工作经验亦可，吃苦耐劳，接受专业的培训。【薪资福利】1、 基本工资+提成+福利+奖金，收入无上限，而且有优秀的导师团队指导2、员工购彩享受内部补贴优惠，还有业内高手教你金融投资技巧，你懂的……3、公司人员结构年轻、活跃、无冰冷残酷的等级划分，想说啥就说啥，发挥空间大；4、公司会定期组织健康积极的团队活动（如：爬山、度假、足球赛，篮球赛...等等）；5、国家法定节假日,劳动法规定的带薪假,劳动法规定带薪年假；6、漕河泾开发区5A级写字楼，交通就餐便利。","上海 -                    徐汇区 -                    漕宝路                                            - 桂平路391号新漕河泾国际商务中心A座5层                                                            查看地图","有鱼金融科技                                                                        拉勾认证企业","http://www.youyuwo.com/                公司主页"
"青客公寓租赁代表--徐汇","8k-9k","经验不限 /","大专及以上 /","岗位职责：1、在销售经理的带领下，完成销售任务。 2、利用青客官网及网络渠道发布公司旗下房源信息，吸引租客进行租房咨询。 3、解答租客的疑问，并告知租客公司所能提供的服务。 4、根据租客的租房需求，带客户实地参观。 备注：此岗位销售压力不大，月均收入10000，公司旗下房源多多，不需要自行开发房源，房源覆盖整个上海、苏州、昆山、杭州区域，价位不等，满足不同收入阶段的人群需求。不需要主动开发客户，但需要良好的耐心，通过网上发布信息，与客户打成一片，维护并真正帮助到客户的好心人。  任职要求：1、大专以上学历，如果有丰富的房产销售经验，学历可适当降低。2、口齿清晰、普通话流利，有较强的语言表达能力，善于沟通交流。3、亲和力佳、勤奋踏实，具有良好的客户服务意识和销售能力。4、有责任心，具备良好的应变能力和承压能力。5、有房产销售行业工作经验者优先。 公司福利：五险一金+年终奖+超长带薪年假+带薪培训 其他福利：入住公司公寓享受内部折扣 工作时间：早10:00——晚19:00，做6休1，可调休 新人保护机制，前两个月底薪3200更多信息敬请关注青客官网http://www.qk365.com","上海 -                    徐汇区 -                    龙华                                            - 龙华中路                                                            查看地图","上海青客                                                                        拉勾认证企业","500-2000人                规模"
"高端销售代表","6k-8k","经验不限 /","本科及以上 /","我能得到什么？★显性收入：无责任底薪6000元/月（211/985 7000/月）+高额提成+年终绩效奖金+精英留任奖励+带薪年假 ★隐性收入：高端人脉积累、视野拓展、广阔晋升、管理经验、轻松简单的工作氛围、房产知识、营销知识、交易知识、法律法规、客户维护、目标管理、 谈判技巧、金融知识…… 我们的优势在哪？★020平台，线上线下联动，网络营销与传统销售相结合★丽兹豪宅网、手机APP、Ipad作业、720度环境展示、京沪和全球Hmall模式★高学历、高素质的伙伴为客户带来高品质的专业服务★企业家、投资人、文体明星的私属豪宅顾问，为客户提供资产配置咨询★客户极强的购买能力---重复成交、长期合作★高端客户的交际圈-----推荐同样的财富人群成为我们的客户★平台提供强力支持-----除了先进的营销工具，还会提供其他必要支持★13年积累的精准客户资源★唯一一家只专注于豪宅服务十二年的不动产品牌经纪机构  我们如何作业？★新伙伴入店，熟悉了解所在所在高端豪宅项目★详细了解客户的需求，了解公司产品，帮助客户进行房源的高效匹配★带客户实地看房，进行商务磋商，谈判，促成豪宅成交★为客户提供最新豪宅市场分析报告，帮助客户做资产配置 我需要满足什么条件？只要你是这样的，就可以一睹丽兹的风采，与城市领秀零距离接触，就有机会在快乐、温馨的工作氛围中实现年薪百万★年龄：21-35周岁★学历：统招二本及以上学历♤有良好的亲和力、理解能力和沟通能力♤乐观开朗，为人诚恳，工作积极主动，主动团队合作，乐于分享♤愿意服务高端客户，积累人脉、拓展视野的同时，还能体现自己的价值，实现梦想♤愿意参加公益活动，献出自己的一份爱心，让社会变得更温暖和谐 还有哪些福利？★六险一金：养老、失业、医疗、工伤、生育、商业保险、住房公积金；享受免费健康检查；★打电话免费：企业内部通话免费★多重奖励：新人奖、品质奖、价值范、最佳支持个人及团队……★年度国内外旅游：泰山、青岛、厦门、海南、云南、泰国、韩国都曾留下我们的身影★重磅奖励：♤父母旅游和健康体检，还有你想不到的意外惊喜；♤嘉奖大会可否邀请父母一起参加，与你一同享受这份荣誉呢？★假期：带薪年假，法定假期，10天春节长假★简单快乐的工作氛围：♤年轻有激情、乐于分享、互帮互助的团队♤逢节必过--元旦、圣诞、儿童节、端午节……♤贴心的伙伴和Leader：入司满月庆祝，生日祝福，司领生日庆祝（入司满1年、2年、3年、4年……） 我将得到什么样的发展？公开 公平 透明的竞聘机制★营销专家： 豪宅顾问→资深豪宅顾问→高级客户经理→资深客户经理★管理岗位晋升店经理→店面总监→大区总监  没有经验怎么办？★师徒制：一对一的师徒辅导，除了工作，还有生活，有句话叫“有事找师傅” ★内训：♤针对豪宅顾问——房产知识、营销知识、交易知识、法律法规、客户维护、目标管理、 谈判技巧、金融知识、心理学……♤针对销售精英——百万尖子班♤针对管理岗位——黄埔培训班、虎将训练营 ★外训：♤中层管理者—PMBA课程、EMBA课程♤高层管理者----北大、清华总裁培训班，中欧课程★行业交流：我们会不定期地请行业中的佼佼者-美国、台湾、日本的老师进行交流学习  ★准备：♤纸质版简历♤毕业证书复印件（PS:是毕业证，不是学位证）♤正装，提升职业感★我们在：上海浦东新区浦电路577号平安财富大厦东楼107 ","上海 -                    黄浦区 -                    南京东路                                            - 就近分配                                                            查看地图","丽兹行                                                                        拉勾认证企业","http://www.lizihang.com                公司主页"
"电商退换货运营专员","10k-17k","经验1-3年 /","本科及以上 /","岗位职责：1. 负责RMA退货的现场管理和协调；2. 负责预签收流程的执行和优化；3. 确保运单号记录的及时，完整和准确；4. 负责客退后续的处理进度跟进，归档和统计；5. 管理客服的响应速度、现场答疑；4. 根据业务发展需求，及时修改和更新RMA作业内容和标准。任职条件：1. 2年以上电商仓库及RMA管理经验，熟悉服饰、电商物流中心业务流程；2. 本科及以上学历；5. 良好的沟通能力及团队合作精神，能够与各方协作，按时达成目标；6. 接受快节奏变化的环境以及良好的适应调整能力。7、朝九晚六 周末双休，节假日正常工作地点：上海市浦东新区申东路251弄1号厂房","上海 -                    浦东新区                                            - 申东路251弄1号厂房                                                            查看地图","武汉佰钧成技术有限公司                                                                        拉勾认证企业","http://www.bill-jc.com                公司主页"
"Node.jsJ10284","10k-15k","经验1-3年 /","本科及以上 /","工作职责：1、 基于SasS 模式的系列行业产品后台设计和开发；2、 负责nodejs服务端功能模块编写，持续优化，以提高前端的用户体验3、分析项目需求，能给出良好的解决方案，并协助其他人员完开发及调试工作任职资格：1、计算机专业本科以上学历；2、熟悉nodejs事件机制，常见模块的使用；3、扎实的编程基础，对常见数据结构、设计模式、算法有清晰的理解；4、熟练使用MongoDB，Redis等后端数据库5、熟练使用Linux操作系统6、良好的编码习惯，较好的沟通、协调、理解能力和良好的责任心和团队合作能力。企业介绍：LendingCar是一家Fin－Tech公司，公司成立于美国加州，持有贷款执照。为利欧数字集团旗下一家投资公司。LendingCar致力于利用SAAS系统，大数据和金融科技对二手车经销商进行业务能力评估和风险定价，将传统管理运营模式进化为高校、在线、可循环，可标准化复制操作的二手车融资销售系统。进一步获取终端用户，改变个人出行方式。本次招聘是为LendingCar在中国上海组建一个团队，需要协同美国总部一起工作。对于每一位新入职的员工，半年后，公司会安排至美国总部培训1个月。你将有机会去到群雄云集的美国硅谷，领略那里高科技企业的神秘风采。","上海 -                    普陀区                                            - 泸定路276弄10号楼4楼                                                            查看地图","利欧数字集团                                                                        拉勾认证企业","http://www.leo.cn                公司主页"
